rilis;pubid;judul_pre;judul;link
2021/03/22;2713a487ea925aa0dde4def6;Master File Desa Provinsi Kalimantan Tengah Desember 2020;Master-File-Desa-Provinsi-Kalimantan-Tengah-Desember-2020;https://kalteng.bps.go.id/publication/2021/03/22/2713a487ea925aa0dde4def6/Master-File-Desa-Provinsi-Kalimantan-Tengah-Desember-2020
2021/03/12;7341feaf76298e11b92fcb8d;Peta Tematik Kemiskinan Menurut Kabupaten/Kota di Provinsi Kalimantan Tengah 2008-2019;Peta-Tematik-Kemiskinan-Menurut-Kabupaten-Kota-di-Provinsi-Kalimantan-Tengah-2008-2019;https://kalteng.bps.go.id/publication/2021/03/12/7341feaf76298e11b92fcb8d/Peta-Tematik-Kemiskinan-Menurut-Kabupaten-Kota-di-Provinsi-Kalimantan-Tengah-2008-2019
2021/03/10;90eba67ade6ab62554155e1a;Analisis Pembangunan Manusia Provinsi Kalimantan Tengah 2020;Analisis-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/03/10/90eba67ade6ab62554155e1a/Analisis-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2020
2021/02/26;bf03519fc08a885766f0a09e;Nilai Tukar Petani Provinsi Kalimantan Tengah 2020;Nilai-Tukar-Petani-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/02/26/bf03519fc08a885766f0a09e/Nilai-Tukar-Petani-Provinsi-Kalimantan-Tengah-2020
2021/02/26;149e87d54217d42942544610;Provinsi Kalimantan Tengah Dalam Angka 2021;Provinsi-Kalimantan-Tengah-Dalam-Angka-2021;https://kalteng.bps.go.id/publication/2021/02/26/149e87d54217d42942544610/Provinsi-Kalimantan-Tengah-Dalam-Angka-2021
2021/02/24;e1ac7e0a12d61b23bbc0ed09;Statistik Pendidikan Provinsi Kalimantan Tengah 2020;Statistik-Pendidikan-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/02/24/e1ac7e0a12d61b23bbc0ed09/Statistik-Pendidikan-Provinsi-Kalimantan-Tengah-2020
2021/01/29;d5ab0fc98aedbacc6eb85682;Indeks Pembangunan Manusia Provinsi Kalimantan Tengah 2020;Indeks-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/01/29/d5ab0fc98aedbacc6eb85682/Indeks-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2020
2021/01/28;8d879939fa6938238e460467;Berita Resmi Statistik Provinsi Kalimantan Tengah 2020;Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/01/28/8d879939fa6938238e460467/Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2020
2021/01/22;f4685a97dfc1670f85bca4e8;Katalog Publikasi Provinsi Kalimantan Tengah 2020;Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2021/01/22/f4685a97dfc1670f85bca4e8/Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2020
2020/12/30;fc21c85cdcec6f47f9b7da6e;Statistik Kesejahteraan Rakyat Provinsi Kalimantan Tengah 2020;Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2020;https://kalteng.bps.go.id/publication/2020/12/30/fc21c85cdcec6f47f9b7da6e/Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2020
2020/12/30;832a1811b31a534d20dd1248;Statistik Ketahanan Sosial Provinsi Kalimantan Tengah 2019;Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/12/30/832a1811b31a534d20dd1248/Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2019
2020/12/29;f1d4faf35f1e06247401db5e;Statistik Industri Besar dan Sedang Provinsi Kalimantan Tengah 2018;Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/12/29/f1d4faf35f1e06247401db5e/Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2018
2020/12/23;1c73a074e29f1461f03a2c7b;Pengeluaran dan Konsumsi Penduduk Provinsi Kalimantan Tengah Maret 2020;Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah-Maret-2020;https://kalteng.bps.go.id/publication/2020/12/23/1c73a074e29f1461f03a2c7b/Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah-Maret-2020
2020/12/22;8f654585bdb601ea63eba844;Profil Industri Mikro dan Kecil Provinsi Kalimantan Tengah 2019;Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/12/22/8f654585bdb601ea63eba844/Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2019
